OCCURRENCE_YEAR,OCCURRENCE_DATE,OCCURRENCE_TIME,REPORTED_YEAR,REPORTED_DATE,REPORTED_TIME,DIVISION,LOCATION_TYPE,AGE_BIAS,MENTAL_OR_PHYSICAL_DISABILITY,RACE_BIAS,ETHNICITY_BIAS,LANGUAGE_BIAS,RELIGION_BIAS,SEXUAL_ORIENTATION_BIAS,GENDER_BIAS,MULTIPLE_BIAS,PRIMARY_OFFENCE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,ARREST_MADE
2018,2018-01-03,1200,2018,2018-01-05,1321,D13,Other Commercial / Corporate Places ,NO,NO,none,None,None,jewish,none,None,NO,Wilful Promotion of Hatred,102,Forest Hill North (102),102,Forest Hill North (102),NO
2018,2018-01-10,2145,2018,2018-01-10,2146,D14,Public Transportation,NO,NO,black,None,None,none,none,None,NO,Mischief Under $5000,095,Annex (95),095,Annex (95),NO
2018,2018-01-19,2021,2018,2018-01-19,2021,D12,Streets/Roadways/Highway,NO,NO,none,None,None,jewish,none,None,NO,Mischief Under $5000,028,Rustic (28),028,Rustic (28),NO
2018,2018-01-19,1800,2018,2018-01-20,55,D52,Public Transportation,NO,NO,none,None,None,muslim,none,None,NO,Assault,169,Bay-Cloverhill (169),076,Bay Street Corridor (76),NO
2018,2018-01-26,1800,2018,2018-01-28,1326,D31,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,none,None,None,jewish,none,None,NO,Mischief Under $5000,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),NO
2018,2018-01-27,1158,2018,2018-01-27,1158,D51,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,black,None,None,none,none,None,NO,Mischief Under $5000,073,Moss Park (73),073,Moss Park (73),NO
2018,2018-02-01,1000,2018,2018-02-01,1035,D13,Business/Retail,NO,NO,none,None,None,jewish,none,None,NO,Uttering Threats - Bodily Harm,102,Forest Hill North (102),102,Forest Hill North (102),NO
2018,2018-02-01,127,2018,2018-02-01,127,D12,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,none,None,None,none,2slgbtq+,None,NO,Mischief Under $5000,113,Weston (113),113,Weston (113),NO
2018,2018-02-02,900,2018,2018-02-09,939,D52,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,none,None,None,muslim,none,None,NO,Mischief Under $5000,079,University (79),079,University (79),NO
2018,2018-02-05,1257,2018,2018-02-13,941,D43,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,black,None,None,jewish,none,None,YES,Mischief Under $5000,134,Highland Creek (134),134,Highland Creek (134),NO
2018,2018-02-12,2140,2018,2018-02-12,2239,D51,Public Transportation,NO,NO,none,None,None,none,gay,None,NO,Assault,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),NO
2018,2018-02-13,600,2018,2018-02-13,843,NSA,"Open Area, Park or Parking Lot",NO,NO,black,None,None,jewish,none,None,YES,Mischief Under $5000,NSA,NSA,NSA,NSA,NO
2018,2018-02-16,1300,2018,2018-02-16,1357,D53,Other Commercial / Corporate Places ,NO,NO,none,None,None,jewish,none,None,NO,Uttering Threats - Bodily Harm,100,Yonge-Eglinton (100),100,Yonge-Eglinton (100),NO
2018,2018-02-17,1755,2018,2018-02-17,2006,D22,Government Building,NO,NO,none,None,None,none,none,Transgender Woman (Identifies As Woman),NO,Assault,160,Mimico-Queensway (160),017,Mimico (includes Humber Bay Shores) (17),NO
2018,2018-02-20,2136,2018,2018-02-20,2136,D52,Other Commercial / Corporate Places ,NO,NO,none,None,None,jewish,none,None,NO,Mischief Under $5000,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),NO
2018,2018-02-21,900,2018,2018-02-22,2039,D55,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,none,None,None,jewish,none,None,NO,Mischief Under $5000,058,Old East York (58),058,Old East York (58),NO
2018,2018-02-22,500,2018,2018-02-22,1751,D31,"Medical Facility (Hospitals, Long-term Care, etc.)",NO,NO,none,None,None,jewish,none,None,NO,Mischief Under $5000,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),NO
2018,2018-02-23,1610,2018,2018-02-23,1617,D51,Streets/Roadways/Highway,NO,NO,none,Chinese,None,none,none,None,NO,Assault,073,Moss Park (73),073,Moss Park (73),YES
2018,2018-02-24,1045,2018,2018-02-24,1047,D32,Other Commercial / Corporate Places ,NO,NO,black,None,None,jewish,none,None,YES,Mischief Under $5000,105,Lawrence Park North (105),105,Lawrence Park North (105),NO
2018,2018-02-27,943,2018,2018-02-27,951,D52,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,black,None,None,none,none,None,NO,Assault,NSA,NSA,NSA,NSA,YES
2018,2018-03-01,1545,2018,2018-03-01,1559,D31,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,none,Iranian,None,none,none,None,NO,Criminal Harassment,027,York University Heights (27),027,York University Heights (27),NO
2018,2018-03-05,1100,2018,2018-03-05,1239,D31,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,black,None,None,none,none,None,NO,Mischief Interfere With Property,027,York University Heights (27),027,York University Heights (27),NO
2018,2018-03-06,700,2018,2018-03-06,1531,D53,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,black,"Chinese, Arab",None,jewish,none,None,YES,Uttering Threats - Bodily Harm,173,North Toronto (173),104,Mount Pleasant West (104),NO
2018,2018-03-06,1430,2018,2018-03-06,1811,D32,Religious Place of Worship/Cultural Centre,NO,NO,none,None,None,jewish,none,None,NO,Uttering Threats - Bodily Harm,035,Westminster-Branson (35),035,Westminster-Branson (35),NO
2018,2018-03-09,1900,2018,2018-03-10,905,D11,Streets/Roadways/Highway,NO,NO,none,None,None,jewish,none,None,NO,Mischief Under $5000,085,South Parkdale (85),085,South Parkdale (85),NO
2018,2018-03-16,1800,2018,2018-03-17,1336,D52,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,none,None,None,jewish,none,None,NO,Mischief Under $5000,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),NO
2018,2018-03-22,620,2018,2018-03-22,1616,D31,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,black,None,None,none,none,None,NO,Mischief Under $5000,027,York University Heights (27),027,York University Heights (27),NO
2018,2018-03-27,2130,2018,2018-03-30,1130,D13,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,none,None,None,jewish,none,None,NO,Mischief Interfere With Property,094,Wychwood (94),094,Wychwood (94),NO
2018,2018-03-28,1345,2018,2018-05-08,838,D12,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,none,None,None,jewish,none,None,NO,Mischief Under $5000,111,Rockcliffe-Smythe (111),111,Rockcliffe-Smythe (111),NO
2018,2018-03-28,1357,2018,2018-04-03,1349,D31,Other Commercial / Corporate Places ,NO,NO,none,None,None,jewish,none,None,NO,Uttering Threats - Bodily Harm,021,Humber Summit (21),021,Humber Summit (21),YES
